id,name,pclass,age,sex,survived,sexcode
1,Dean_ Miss Elizabeth Gladys (Millvena),3rd,45,female,1,1
2,Danbom_ Master Gilbert Sigvard Emanuel,3rd,65,male,0,0
3,Richards_ Master George Sidney,2nd,44,male,1,0
4,Caldwell_ Master Alden Gates,2nd,34,male,1,0
5,Aks_ Master Philip,3rd,23,male,1,0
6,Becker_ Master Richard F,2nd,16,male,1,0
7,Hamalainen_ Master Viljo,2nd,1,male,1,0
8,LaRoche_ Miss Louise,2nd,1,female,1,1
9,Dean_ Master Bertram Vere,3rd,1,male,1,0
10,Johnson_ Miss Eleanor Ileen,3rd,1,female,1,1
11,Klasen_ Miss Gertrud Emilia,3rd,22,female,0,1
12,Sandstrom_ Miss Beatrice Irene,3rd,85,female,0,1
13,Allison_ Miss Helen Loraine,1st,2,female,0,1
14,Mallet_ Master Andre,2nd,2,male,1,0
15,Navratil_ Master Edmond Roger,2nd,2,male,1,0
16,Quick_ Miss Phyllis May,2nd,2,female,1,1
17,Wells_ Master Ralph Lester,2nd,2,male,1,0
18,Andersson_ Miss Ellis Anna Maria,3rd,2,female,0,1
19,Hirvonen_ Miss Hildur E,3rd,2,female,0,1
20,LaRoche_ Miss Simonne,2nd,3,female,1,1
21,Navratil_ Master Michel M,2nd,3,male,1,0
22,Richards_ Master William Rowe,2nd,3,male,1,0
23,Aspland_ Master Edvin Rojj Felix,3rd,3,male,1,0
24,Baclini_ Miss Eugenie,3rd,3,female,1,1
25,Coutts_ Master Neville,3rd,3,male,1,0
26,Dodge_ Master Washington,1st,4,male,1,0
27,Becker_ Miss Marion Louise,2nd,4,female,1,1
28,Wells_ Miss Joan,2nd,4,female,1,1
29,Andersson_ Master Sigvard Harald Elias,3rd,4,male,0,0
30,Johnson_ Master Harold Theodor,3rd,4,male,1,0
31,Karun_ Miss Anna Mary,3rd,4,female,1,1
32,Kink_ Miss Louise Gretchen,3rd,4,female,1,1
33,Asplund_ Master Carl Edgar,3rd,5,male,0,0
34,Asplund_ Miss Lillian Gertrud,3rd,5,female,1,1
35,Emanuel_ Miss Virginia Ethel,3rd,5,female,1,1
36,Spedden_ Master Robert Douglas,1st,6,male,1,0
37,Harper_ Miss Nina,2nd,6,female,1,1
38,Andersson_ Miss Ebba Iris,3rd,6,female,0,1
39,Boulos_ Master Akar,3rd,6,male,0,0
40,Goodwin_ Master Sidney L,3rd,6,male,0,0
41,Hart_ Miss Eva Miriam,2nd,7,female,1,1
42,Collyer_ Miss Marjorie,2nd,8,female,1,1
43,Davis_ Master John Morgan,2nd,8,male,1,0
44,Drew_ Master Marshall Brines,2nd,8,male,1,0
45,Quick_ Miss Winifred Vera,2nd,8,female,1,1
46,Andersson_ Miss Ingeborg Constancia,3rd,9,female,0,1
47,Asplund_ Master Clarence Gustaf Hugo,3rd,9,male,0,0
48,Boulos_ Miss Laura,3rd,9,female,0,1
49,Coutts_ Master William Leslie,3rd,9,male,1,0
50,Ford_ Miss Maggie,3rd,9,female,0,1
51,Goldsmith_ Master Frank John William,3rd,9,male,1,0
52,Goodwin_ Master Harold V,3rd,9,male,0,0
53,Goodwin_ Miss Jessie A,3rd,10,female,0,1
54,Van Impe_ Miss Catharine,3rd,10,female,0,1
55,Allison_ Master Hudson Trevor,1st,11,male,1,0
56,Carter_ Master William T II,1st,11,male,1,0
57,Andersson_ Miss Sigrid Elizabeth,3rd,11,female,0,1
58,Goodwin_ Master William F,3rd,11,male,0,0
59,Aubert_ Mrs Leontine Pauline,1st,12,female,1,1
60,Becker_ Miss Ruth Elizabeth,2nd,12,female,1,1
61,Watt_ Miss Bertha,2nd,12,female,1,1
62,Ryerson_ Master John Borie,1st,13,male,1,0
63,Mellenger_ Miss Madeleine Violet,2nd,13,female,1,1
64,Abbott_ Master Eugene Joseph,3rd,13,male,0,0
65,Asplund_ Master Filip Oscar,3rd,13,male,0,0
66,Carter_ Miss Lucile Polk,1st,14,female,1,1
67,Sweet_ Mr George,2nd,14,male,0,0
68,Goodwin_ Mr Charles E,3rd,14,male,0,0
69,Vestrom_ Miss Hulda Amanda Adolfina,3rd,14,female,0,1
70,Madill_ Miss Georgette Alexandra,1st,15,female,1,1
71,Brown_ Miss Edith E,2nd,15,female,1,1
72,Banoura_ Miss Ayout,3rd,15,female,1,1
73,Van der Planke_ Mr Leon,3rd,15,male,0,0
74,Yasbeck_ Mrs Antoni,3rd,15,female,1,1
75,Hippach_ Miss Jean Gertrude,1st,16,female,1,1
76,Lines_ Miss Mary Conover,1st,16,female,1,1
77,Gaskell_ Mr Alfred,2nd,16,male,0,0
78,Abbott_ Mr Rossmore Edward,3rd,16,male,0,0
79,Abelseth_ Miss Anna Karen,3rd,16,female,1,1
80,Carr_ Miss Helen,3rd,16,female,1,1
81,Eklund_ Mr Hans Linus,3rd,16,male,0,0
82,Ford_ Mr Neil Watson,3rd,16,male,0,0
83,Gilnagh_ Miss Katie,3rd,16,female,1,1
84,Goodwin_ Miss Lillian A,3rd,16,female,0,1
85,Dick_ Mrs Albert Adrian Vera Gillespie,1st,17,female,1,1
86,Penasco_ Mrs Victor de Satode (Josefa de Soto),1st,17,female,1,1
87,Thayer_ Mr John Borland_ jr,1st,17,male,1,0
88,Ilett_ Miss Bertha,2nd,17,female,1,1
89,Allum_ Mr Owen George,3rd,17,male,0,0
90,Andersson_ Miss Erna,3rd,17,female,1,1
91,Attalah_ Miss Malaka,3rd,17,female,0,1
92,Calic_ Mr Peter,3rd,17,male,0,0
93,Cribb_ Miss Laura Alice,3rd,17,female,1,1
94,Davies_ Mr Joseph,3rd,17,male,0,0
95,Hagardon_ Miss Kate,3rd,17,female,0,1
96,Jensen_ Mr Svend Lauritz,3rd,17,male,0,0
97,Kallio_ Mr Nikolai Erland,3rd,17,male,0,0
98,Penasco_ Mr Victor de Satode,1st,18,male,0,0
99,Ryerson_ Miss Emily Borie,1st,18,female,1,1
100,Smith_ Mrs Lucien Philip (Mary Eloise Hughes,1st,18,female,1,1
101,Taussig_ Miss Ruth,1st,18,female,1,1
102,Andrew_ Mr Edgar Samuel,2nd,18,male,0,0
103,Bailey_ Mr Percy Andrew,2nd,18,male,0,0
104,Deacon_ Mr Percy,2nd,18,male,0,0
105,Dibden_ Mr William,2nd,18,male,0,0
106,Doling_ Miss Elsie,2nd,18,female,1,1
107,Hiltunen_ Miss Marta,2nd,18,female,0,1
